"category","month","order_count","total_revenue","avg_revenue"
"Bakery","2026-01","6","735","122.5"
"Bakery","2026-02","8","2440","305"
"Bakery","2026-03","11","3090","280.91"
"Bakery","2026-04","13","3115","239.62"
"Bakery","2026-05","15","3695","246.33"
"Bakery","2026-06","14","2335","166.79"
"Dairy & Eggs","2026-01","9","2035","226.11"
"Dairy & Eggs","2026-02","8","1935","241.88"
"Dairy & Eggs","2026-03","15","3163","210.87"
"Dairy & Eggs","2026-04","9","1650","183.33"
"Dairy & Eggs","2026-05","14","3479","248.5"
"Dairy & Eggs","2026-06","11","1828","166.18"
"Fruits & Vegetables","2026-01","12","1290","107.5"
"Fruits & Vegetables","2026-02","13","2090","160.77"
"Fruits & Vegetables","2026-03","13","2080","160"
"Fruits & Vegetables","2026-04","14","1400","100"
"Fruits & Vegetables","2026-05","12","1870","155.83"
"Fruits & Vegetables","2026-06","9","1060","117.78"
"Household Essentials","2026-01","10","2099","209.9"
"Household Essentials","2026-02","16","5113","319.56"
"Household Essentials","2026-03","8","1885","235.63"
"Household Essentials","2026-04","17","5491","323"
"Household Essentials","2026-05","16","3477","217.31"
"Household Essentials","2026-06","12","3650","304.17"
"Personal Care","2026-01","12","3608","300.67"
"Personal Care","2026-02","8","2177","272.13"
"Personal Care","2026-03","11","2807","255.18"
"Personal Care","2026-04","9","1970","218.89"
"Personal Care","2026-05","13","3045","234.23"
"Personal Care","2026-06","13","2775","213.46"
"Snacks & Beverages","2026-01","10","1290","129"
"Snacks & Beverages","2026-02","11","1330","120.91"
"Snacks & Beverages","2026-03","15","1670","111.33"
"Snacks & Beverages","2026-04","19","2980","156.84"
"Snacks & Beverages","2026-05","13","1665","128.08"
"Snacks & Beverages","2026-06","15","1960","130.67"
